dt_compra,produto,valor_produto
2026-01-05,Arroz,18.50
2026-01-10,Feijão,10.80
2026-01-15,Cerveja,4.20
2026-01-20,Macarrão,7.20
2026-02-02,Pipoca,8.10
2026-02-10,Arroz,19.00
2026-02-15,Feijão,12.30
2026-02-25,Macarrão,6.40
2026-03-01,Cerveja,4.80
2026-03-12,Pipoca,7.80
2026-03-20,Arroz,24.00
2026-04-05,Feijão,14.50
2026-04-10,Macarrão,8.90
2026-04-22,Cerveja,4.60
2026-05-05,Pipoca,11.10
2026-05-18,Arroz,21.20
2026-05-22,Feijão,17.50
2026-06-10,Macarrão,9.90
2026-06-15,Cerveja,7.80
2026-06-25,Pipoca,10.20
